H-R9D-B-a	notes/r9d-raw-file-io-safety.md	1705	`tools/file_operations.py:1782`:`diff = self._unified_diff(content, new_content, path)`	| H-R9D-B-a | `tools/file_operations.py:1782`:`diff = self._unified_diff(content, new_content, path)` | `patch` 无读禁、无脱敏,返回的 unified diff 把 `auth.json` / 项目 `.env` 的明文密钥原样交给模型(实跑复现,见 ■-3) | 下一轮安全面复核 |
H-R9D-B-b	notes/r9d-raw-file-io-safety.md	1706	`agent/file_safety.py:284`:`os.path.join("cache", "bws_cache.json"),`	| H-R9D-B-b | `agent/file_safety.py:284`:`os.path.join("cache", "bws_cache.json"),` | 同类的 `cache/op_cache.json`(1Password 明文值)不在任何守卫表里,且因此可被 skill 声明式挂进沙箱(实跑复现,见 ■-2) | 与 R9C D 片 ■-1 合并结案 |
H-R9D-B-c	notes/r9d-raw-file-io-safety.md	1707	`agent/file_safety.py:50`:`str(hermes_home / "cache" / "bws_cache.enc.json"),`	| H-R9D-B-c | `agent/file_safety.py:50`:`str(hermes_home / "cache" / "bws_cache.enc.json"),` | 写禁清单里没有 `auth.json`,`write_file` 可整体覆盖主凭据库;而 `website/docs/user-guide/security.md` 的 “Protected paths (always blocked)” 表把它列为永远拦截(▲-1,文档侧锚点见第 4 节 ▲-1) | 下一轮文档-代码冲突汇总 |
H-R9D-B-d	notes/r9d-raw-file-io-safety.md	1708	`tools/file_operations.py:1071`:`"trap 'rm -f \\\"$tmp\\\"' EXIT; "`	| H-R9D-B-d | `tools/file_operations.py:1071`:`"trap 'rm -f \\\"$tmp\\\"' EXIT; "` | 单引号内的 `\"` 是字面量,trap 触发时 `rm` 删的是一个名字带引号的路径,临时文件从不被清理(最小 bash 复现见 ■-4) | 可与 ■-5 合并 |
H-R9D-B-e	notes/r9d-raw-file-io-safety.md	1709	`tools/file_operations.py:1612`:`if hash_result.exit_code == 0 and hash_result.stdout.strip():`	| H-R9D-B-e | `tools/file_operations.py:1612`:`if hash_result.exit_code == 0 and hash_result.stdout.strip():` | sha256 写后校验"验证不了"与"验证通过"输出相同,于是 `write_file` 指向已存在目录时报成功、内容落进目录里的隐藏 `.hermes-tmp.*`(实跑复现,见 ■-5) | 下一轮写路径复核 |
H-R9D-B-f	notes/r9d-raw-file-io-safety.md	1710	`tools/file_operations.py:1227`:`truncated = total_lines > end_line`	| H-R9D-B-f | `tools/file_operations.py:1227`:`truncated = total_lines > end_line` | `total_lines` 来自 `wc -l`(数换行符),无尾换行文件少 1,于是边界情形下末行被静默丢弃且 `truncated=False`(实跑复现,见 ■-7) | 下一轮读路径复核 |
H-R9D-B-g	notes/r9d-raw-file-io-safety.md	1711	`tools/file_tools.py:374`:`container_paths = _uses_container_paths(task_id)`	| H-R9D-B-g | `tools/file_tools.py:374`:`container_paths = _uses_container_paths(task_id)` | 容器后端不做 `resolve()` 而读禁判定在宿主 `resolve()`,推定容器内软链可绕过读禁 —— **未取证**,需要 Docker 环境 | 有容器环境的轮次 |
H-R9D-B-h	notes/r9d-raw-file-io-safety.md	1712	`tools/file_operations.py:52`:`WRITE_DENIED_PATHS = build_write_denied_paths(_HOME)`	| H-R9D-B-h | `tools/file_operations.py:52`:`WRITE_DENIED_PATHS = build_write_denied_paths(_HOME)` | 模块级写禁快照零消费者,且 `_HOME` 在 import 时求值、不认 HERMES_HOME/profile(全仓搜索见 ◇-2) | 清理面轮次 |
H-R9D-F-a	notes/r9d-raw-gateway-clarify-turn-misc.md	1990	`toolsets.py:94`:`    "clarify",`	| H-R9D-F-a | `toolsets.py:94`:`    "clarify",` | webhook 的「安全子集」含 `clarify`,而 `gateway/platforms/webhook.py:378` 的 `if deliver_type == "log":` 分支只写日志就报 success,agent 会为一个没人能答的问题阻塞到 `agent.clarify_timeout`(默认 3600s);需真起一次 webhook 回合确认 `ctx._status_adapter` 非空 | R10 网关片 |
H-R9D-F-b	notes/r9d-raw-gateway-clarify-turn-misc.md	1991	`agent/think_scrubber.py:89`:`    _OPEN_TAGS: Tuple[str, ...] = tuple(f"<{name}>" for name in _OPEN_TAG_NAMES)`	| H-R9D-F-b | `agent/think_scrubber.py:89`:`    _OPEN_TAGS: Tuple[str, ...] = tuple(f"<{name}>" for name in _OPEN_TAG_NAMES)` | 字面量标签集不认 `<think type="x">`,推理内容随流式增量原样送达用户;而 `agent/agent_runtime_helpers.py:79` 的未闭合正则用 `\b[^>]*>` 接受属性、会把整条回复吃空——同一输入两条路径结果相反 | R10 隐私/输出片 |
H-R9D-F-c	notes/r9d-raw-gateway-clarify-turn-misc.md	1992	`agent/replay_cleanup.py:304`:`            ts = msg.get("timestamp")`	| H-R9D-F-c | `agent/replay_cleanup.py:304`:`            ts = msg.get("timestamp")` | 高危确认语过期保护对**不带 `timestamp`** 的历史消息完全不生效;该字段由持久化层写入,需在会话存储片确认哪些恢复路径带时间戳 | R10 状态/持久化片 |
